Movie Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross Collection,Popularity,Certification
The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,"2,742,930",Action,Crime,Drama,,79,PG-13
The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,"1,899,701",Action,Adventure,Drama,"$1,147,633,833",341,PG-13
Spider-Man: Across the Spider-Verse,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Velez,"187,607",Animation,Action,Adventure,"$667,202,220",14,PG
Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,"2,434,051",Action,Adventure,Sci-Fi,"$870,792,649",77,PG-13
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"1,928,115",Action,Adventure,Drama,2.39 : 1,156,PG-13
The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,"1,714,397",Action,Adventure,Drama,"$947,944,270",583,PG-13
The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,"1,971,845",Action,Sci-Fi,,"$467,222,728",261,R
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,330,296",Action,Adventure,Fantasy,"$538,375,067",937,PG
Soorarai Pottru,Suriya,Paresh Rawal,Aparna Balamurali,Urvashi,"120,059",Action,Drama,,,_,TV-MA
Terminator 2: Judgment Day,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,"1,131,503",Action,Sci-Fi,,,278,R
Star Wars: Episode IV - A New Hope,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,"1,402,536",Action,Adventure,Fantasy,,322,PG
Seven Samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,"355,074",Action,Drama,,"$346,258","1,699",Not Rated
Harakiri,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,"62,199",Action,Drama,Mystery,,"2,814",Not Rated
Sita Ramam,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,"61,473",Action,Drama,Mystery,,_,
Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,"1,546,776",Action,Adventure,Drama,"$503,162,313",130,R
Léon: The Professional,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,"1,197,932",Action,Crime,Drama,"$19,569,225",238,R
Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,"1,003,935",Action,Adventure,,,37,PG
Spider-Man: Into the Spider-Verse,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,"610,017",Animation,Action,Adventure,2.39 : 1,74,PG
Avengers: Endgame,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,"1,195,515",Action,Adventure,Drama,"$2,799,439,100",179,PG-13
Aliens,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,"737,275",Action,Adventure,Sci-Fi,"$131,060,248",186,R
Oldboy,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,"601,836",Action,Drama,Mystery,"$15,421,226",214,R
The Dark Knight Rises,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,"1,755,279",Action,Drama,Thriller,,220,PG-13
Avengers: Infinity War,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,"1,137,765",Action,Adventure,Sci-Fi,"$2,052,415,039",386,PG-13
Kaithi,Karthi,Narain,Arjun Das,George Maryan,"36,812",Action,Adventure,Crime,,_,Not Rated
Asuran,Dhanush,Manju Warrier,Prakash Raj,Pasupathy,"31,544",Action,Drama,,,_,Not Rated
Top Gun: Maverick,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,"610,612",Action,Drama,,"$1,495,696,292",53,PG-13
Heat,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,"683,498",Action,Crime,Drama,2.39 : 1,155,R
Star Wars: Episode VI - Return of the Jedi,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,084,631",Action,Adventure,Fantasy,,"1,046",PG
Princess Mononoke,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,"410,562",Animation,Action,Adventure,,"1,341",PG-13
North by Northwest,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,"336,539",Action,Adventure,Mystery,1.85 : 1,"2,436",Approved
Dangal,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,"199,164",Action,Biography,Drama,,"2,618",Not Rated
Kantara,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar,Sapthami Gowda,"96,903",Action,Adventure,Drama,,"4,093",Not Rated
K.G.F: Chapter 2,Yash,Sanjay Dutt,Raveena Tandon,Srinidhi Shetty,"141,038",Action,Crime,Drama,2.39 : 1,_,Not Rated
Vikram,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,Narain,"64,815",Action,Crime,Thriller,,_,
Shershaah,Sidharth Malhotra,Kiara Advani,Shiv Panditt,Pranay Pachauri,"125,591",Action,Biography,Drama,,_,TV-14
Raatchasan,Vishnu Vishal,Amala Paul,Radha Ravi,Sangili Murugan,"47,504",Action,Crime,Drama,,_,Not Rated
Indiana Jones and the Last Crusade,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,"784,300",Action,Adventure,,,59,PG-13
Spider-Man: No Way Home,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,"814,226",Action,Adventure,Fantasy,,124,PG-13
Jurassic Park,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,"1,023,410",Action,Adventure,Sci-Fi,"$1,109,802,321",139,PG-13
Batman Begins,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,"1,515,367",Action,Crime,Drama,2.39 : 1,272,PG-13
1917,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,"629,828",Action,Drama,War,2.39 : 1,371,R
Die Hard,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,"906,398",Action,Thriller,,"$141,603,197",412,R
Kill Bill: Vol. 1,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,"1,148,052",Action,Crime,Thriller,"$180,906,076",608,R
V for Vendetta,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,"1,146,269",Action,Drama,Sci-Fi,"$134,686,457","1,006",R
Ran,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,"130,371",Action,Drama,War,,"2,616",R
Demon Slayer the Movie: Mugen Train,Natsuki Hanae,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono,"66,145",Animation,Action,Adventure,1.78 : 1,"2,763",TV-14
Gangs of Wasseypur,Manoj Bajpayee,Nawazuddin Siddiqui,Tigmanshu Dhulia,Richa Chadha,"99,921",Action,Comedy,Crime,2.35 : 1,"4,774",Not Rated
Baahubali 2: The Conclusion,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,"108,127",Action,Drama,,2.35 : 1,_,Not Rated
Yojimbo,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,"126,772",Action,Drama,Thriller,,_,Not Rated
Uri: The Surgical Strike,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,"68,337",Action,Drama,History,,_,Not Rated
K.G.F: Chapter 1,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,"92,601",Action,Crime,Drama,2.35 : 1,_,Not Rated
Sherlock Jr.,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly,"53,177",Action,Comedy,Romance,,_,Passed
Vikram Vedha,Madhavan,Vijay Sethupathi,Shraddha Srinath,Kathir,"48,238",Action,Crime,Drama,2.35 : 1,_,Not Rated
The Mountain II,Caglar Ertugrul,Ufuk Bayraktar,Ahu Türkpençe,Murat Serezli,"109,346",Action,Drama,War,,_,
Rangasthalam 1985,Ram Charan,Samantha Ruth Prabhu,Aadhi,Jagapathi Babu,"26,354",Action,Drama,,,_,Not Rated
Paan Singh Tomar,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,"37,179",Action,Biography,Crime,2.35 : 1,_,Not Rated
Mission: Impossible - Dead Reckoning Part One,Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,"76,788",Action,Adventure,Thriller,"$268,272,336",1,PG-13
Guardians of the Galaxy Vol. 3,Chris Pratt,Chukwudi Iwuji,Bradley Cooper,Pom Klementieff,"223,288",Action,Adventure,Comedy,,8,PG-13
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,"1,162,401",Action,Adventure,Fantasy,2.39 : 1,143,PG-13
Blade Runner,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,"793,556",Action,Drama,Sci-Fi,,257,R
Logan,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,"794,993",Action,Drama,Sci-Fi,2.39 : 1,273,R
Mad Max: Fury Road,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,"1,037,699",Action,Adventure,Sci-Fi,"$380,080,290",277,R
The Terminator,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,"892,210",Action,Sci-Fi,,,326,R
Ford v Ferrari,Matt Damon,Christian Bale,Jon Bernthal,Caitríona Balfe,"426,560",Action,Biography,Drama,"$225,508,210",411,PG-13
Rush,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,"494,533",Action,Biography,Drama,2.35 : 1,602,R
Warrior,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,"484,195",Action,Drama,Sport,2.35 : 1,"1,077",PG-13
How to Train Your Dragon,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Craig Ferguson,"767,624",Animation,Action,Adventure,"$494,879,471","1,217",PG
"Lock, Stock and Two Smoking Barrels",Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,"598,231",Action,Comedy,Crime,1.85 : 1,"1,234",R
The Iron Giant,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,"212,370",Animation,Action,Adventure,"$23,335,817","2,189",PG
